Item Name,Item Link,Sold Count,Ratings Count,Location,Price
1100ML Cup Drip Cold Brew Iced Tea Coffee Maker Portable Bottle Pot Espresso Filter Airtight Seal TH,https://www.lazada.com.ph/products/1100ml-cup-drip-cold-brew-iced-tea-coffee-maker-portable-bottle-pot-espresso-filter-airtight-seal-th-i4245748738.html,147 sold,(52),Bulacan,₱239.02
Home Zania 600ml French Press Coffee Maker Heat Resistant Borosilicate Glass With Handle And 3 Layer Filtration,https://www.lazada.com.ph/products/home-zania-600ml-french-press-coffee-maker-heat-resistant-borosilicate-glass-with-handle-and-3-layer-filtration-i2279234217.html,1.6K sold,(328),Metro Manila,₱95
Hanabishi Coffee Maker HCM15XB 600ML,https://www.lazada.com.ph/products/hanabishi-coffee-maker-hcm15xb-600ml-i1313638973.html,2.8K sold,(830),Bulacan,₱983
【Stario】Coffee Maker/ Pour Over Coffee Set/ Coffee Dripper Set/ Coffee Filter,https://www.lazada.com.ph/products/stariocoffee-maker-pour-over-coffee-set-coffee-dripper-set-coffee-filter-i2604493715.html,1.2K sold,(335),Bulacan,₱239
Italian Moka Pot Coffee Maker Stainless Steel Moka Coffee Pot Tea Pot Moka Pot For Ground Coffee,https://www.lazada.com.ph/products/italian-moka-pot-coffee-maker-stainless-steel-moka-coffee-pot-tea-pot-moka-pot-for-ground-coffee-i3710459512.html,139 sold,(59),Cavite,₱199.75
HANABISHI Coffee Maker Machine 4-6 cups HCM-15XB - BUILDMATE -,https://www.lazada.com.ph/products/hanabishi-coffee-maker-machine-4-6-cups-hcm-15xb-buildmate-i2593086604.html,1.2K sold,(375),Metro Manila,"₱1,143"
"Vermax Coffee Maker 4-7 cups Coffee drip, Coffee machine with water indicator, coffee filter brewed coffee",https://www.lazada.com.ph/products/vermax-coffee-maker-4-7-cups-coffee-drip-coffee-machine-with-water-indicator-coffee-filter-brewed-coffee-i3318364279.html,158 sold,(62),Metro Manila,₱899
Union UGCM-100 1200ml Coffee Maker,https://www.lazada.com.ph/products/union-ugcm-100-1200ml-coffee-maker-i21801.html,1.9K sold,(262),Rizal,₱816.39
"Hanabishi Coffee Maker HCM10B 700ML Capacity with Anti-drip feature,",https://www.lazada.com.ph/products/hanabishi-coffee-maker-hcm10b-700ml-capacity-with-anti-drip-feature-i1313710098.html,4.0K sold,(1197),Bulacan,₱917
Inssa Drip Coffee Maker American Electric Coffee Machine 300ml Capacity,https://www.lazada.com.ph/products/inssa-drip-coffee-maker-american-electric-coffee-machine-300ml-capacity-i4090332679.html,52 sold,(12),Laguna,₱659
900ml Cold Brew Coffee Maker/Brewer with 50g Barako Coffee,https://www.lazada.com.ph/products/900ml-cold-brew-coffee-makerbrewer-with-50g-barako-coffee-i3930540424.html,48 sold,(17),Batangas,₱300
Camel CCM-201D Drip Type Coffee Maker 0.6L (Black),https://www.lazada.com.ph/products/camel-ccm-201d-drip-type-coffee-maker-06l-black-i2357719826.html,58 sold,(20),Cavite,"₱1,230"
Roborobo Natrual Bamboo Lid Handle Glass Press Coffee Maker Stainless Steel Stand 350ml/600ml/1000ml,https://www.lazada.com.ph/products/roborobo-natrual-bamboo-lid-handle-glass-press-coffee-maker-stainless-steel-stand-350ml600ml1000ml-i3405389552.html,1.3K sold,(406),Metro Manila,₱291.53
Beko Coffee Maker 8-cup Thermo Carafe 1000W CFM6401I,https://www.lazada.com.ph/products/beko-coffee-maker-8-cup-thermo-carafe-1000w-cfm6401i-i2464219539.html,1.9K sold,(702),Metro Manila,"₱2,030"
French Press Coffee Maker 600ml/350ml Coffee Grinder Blenders with Stainless Steel Filter for Home Kitchen Cafe,https://www.lazada.com.ph/products/french-press-coffee-maker-600ml350ml-coffee-grinder-blenders-with-stainless-steel-filter-for-home-kitchen-cafe-i3192884493.html,144 sold,(19),Metro Manila,₱85
Beko Coffee Maker 10-cup Glass Carafe 1000W CFM6350I,https://www.lazada.com.ph/products/beko-coffee-maker-10-cup-glass-carafe-1000w-cfm6350i-i3400370277.html,719 sold,(300),Metro Manila,"₱1,680"
✅ 【Big Sale】Coffee Maker Machine On Sale American Drip Coffee Machine Tea Maker Brown 0.75L/8-12cups,https://www.lazada.com.ph/products/big-salecoffee-maker-machine-on-sale-american-drip-coffee-machine-tea-maker-brown-075l8-12cups-i4294273756.html,33 sold,(29),Rizal,₱799
HLW Coffee & Tea Maker French Press With Stainless Steel Filte 350ML,https://www.lazada.com.ph/products/hlw-coffee-tea-maker-french-press-with-stainless-steel-filte-350ml-i3604867023.html,3.4K sold,(514),Metro Manila,₱79
4/6/9/12 Cups Coffee Maker Pot Stainless Steel Mocha Espresso Latte Stovetop Filter Moka Coffee Maker Coffee Pot for Kitchen 200ML/300ML/450ML,https://www.lazada.com.ph/products/46912-cups-coffee-maker-pot-stainless-steel-mocha-espresso-latte-stovetop-filter-moka-coffee-maker-coffee-pot-for-kitchen-200ml300ml450ml-i2806045455.html,5.7K sold,(1789),Metro Manila,₱58.38
DuduMart Electric Milk Frother Coffee Frother Foamer Whisk Mixer Stirrer Egg Beater,https://www.lazada.com.ph/products/dudumart-electric-milk-frother-coffee-frother-foamer-whisk-mixer-stirrer-egg-beater-i3692530435.html,8.3K sold,(2801),Metro Manila,₱34.13
350ml Coffee press set Press coffee maker Tea Maker,https://www.lazada.com.ph/products/350ml-coffee-press-set-press-coffee-maker-tea-maker-i3596446311.html,907 sold,(167),Metro Manila,₱74.25
Simplus American Coffee Maker Coffee Machine Portable Household Coffee Maker Electric Coffee Machine 600ml Water Tank,https://www.lazada.com.ph/products/simplus-american-coffee-maker-coffee-machine-portable-household-coffee-maker-electric-coffee-machine-600ml-water-tank-i4130376969.html,655 sold,(263),Laguna,₱589
Simplus Drip Coffee Maker American Coffee Maker Coffee Machine Portable Household Coffee Maker Electric Coffee Machine,https://www.lazada.com.ph/products/simplus-drip-coffee-maker-american-coffee-maker-coffee-machine-portable-household-coffee-maker-electric-coffee-machine-i4088856054.html,1.4K sold,(572),Laguna,₱584.1
SHANBEN Moka Pot Coffee Maker Coffee N Tea Essentials Espresso（Three sizes available）,https://www.lazada.com.ph/products/shanben-moka-pot-coffee-maker-coffee-n-tea-essentials-espressothree-sizes-available-i3972738796.html,1.2K sold,(465),Bulacan,₱152
600ML Coffee & Tea Maker French Press With Stainless Steel Filter 350ML,https://www.lazada.com.ph/products/600ml-coffee-tea-maker-french-press-with-stainless-steel-filter-350ml-i4347107017.html,192 sold,(39),Bulacan,₱77.42
Hanabishi Coffee Maker HCM15XB 600ML,https://www.lazada.com.ph/products/hanabishi-coffee-maker-hcm15xb-600ml-i1313638973.html,2.8K sold,(830),Bulacan,₱983
Omega Houseware Crumpet Coffee & Tea Maker French Press With Stainless Steel Filter 600ml / 800ml / 1000ml,https://www.lazada.com.ph/products/omega-houseware-crumpet-coffee-tea-maker-french-press-with-stainless-steel-filter-600ml-800ml-1000ml-i1097228111.html,22.0K sold,(6567),Laguna,₱352
Hanabishi Coffee Maker  HCM25XB  Up to 1.2L,https://www.lazada.com.ph/products/hanabishi-coffee-maker-hcm25xb-up-to-12l-i1312388228.html,1.3K sold,(385),Bulacan,"₱1,316"
French Press Coffee Maker  350ml/600ml/1000ml Bamboo Lid Stainless Steel.,https://www.lazada.com.ph/products/french-press-coffee-maker-350ml600ml1000ml-bamboo-lid-stainless-steel-i1903631368.html,203 sold,(31),Metro Manila,₱279.85
CKX Coffee & Tea Maker French Press With Stainless Steel Filte 350ML,https://www.lazada.com.ph/products/ckx-coffee-tea-maker-french-press-with-stainless-steel-filte-350ml-i3604778593.html,549 sold,(75),Metro Manila,₱79
coffee press coffee french press coffee maker Coffee French Press/Tea Maker French Press With Stainless Steel Filter,https://www.lazada.com.ph/products/coffee-press-coffee-french-press-coffee-maker-coffee-french-presstea-maker-french-press-with-stainless-steel-filter-i3750731611.html,957 sold,(131),Bulacan,₱93.1
300ml Glass French Press Coffee Maker Tea Infuser Filter Press Pot,https://www.lazada.com.ph/products/300ml-glass-french-press-coffee-maker-tea-infuser-filter-press-pot-i4236450059.html,366 sold,(70),Metro Manila,₱82.17
Aluminum Coffee Pot Portable Office Mocha Pot Stainless Steel Espresso Latte Stove Coffee Maker Pot Percolator Coffee Thermos Aluminum Coffee Pot Portable Office Mocha Pot Stainless Steel Espresso Latte Stove Coffee Maker Pot Percolator Coffee Thermos Al,https://www.lazada.com.ph/products/aluminum-coffee-pot-portable-office-mocha-pot-stainless-steel-espresso-latte-stove-coffee-maker-pot-percolator-coffee-thermos-aluminum-coffee-pot-portable-office-mocha-pot-stainless-steel-espresso-latte-stove-coffee-maker-pot-percolator-coffee-thermos-al-i2295402678.html,1.0K sold,(288),Cavite,₱465.5
Inssa × Simplus Drip Coffee Maker American Coffee Maker Coffee Machine 5-6Cups,https://www.lazada.com.ph/products/inssa-simplus-drip-coffee-maker-american-coffee-maker-coffee-machine-5-6cups-i4245386265.html,36 sold,(14),Laguna,₱659
1100ML Cold Brew Coffee Maker Iced Coffee Pot Cold Drinks Maker Airtight Seal Silicone with Filter,https://www.lazada.com.ph/products/1100ml-cold-brew-coffee-maker-iced-coffee-pot-cold-drinks-maker-airtight-seal-silicone-with-filter-i4275055219.html,49 sold,(15),Bulacan,₱253.82
Simplus Drip Coffee Maker American Coffee Maker Coffee Machine Portable Household Coffee Maker Electric Coffee Machine 1.2L Water Tank,https://www.lazada.com.ph/products/simplus-drip-coffee-maker-american-coffee-maker-coffee-machine-portable-household-coffee-maker-electric-coffee-machine-12l-water-tank-i4090412151.html,355 sold,(145),Laguna,₱659
40/100PCS  Japanese Wooden Original Hand Drip Paper Coffee Paper  Filters Drip Coffee  No Residue Hand-Poured Drip  White Paper Filter Tea  Coffee Arabica No Odor,https://www.lazada.com.ph/products/40100pcs-japanese-wooden-original-hand-drip-paper-coffee-paper-filters-drip-coffee-no-residue-hand-poured-drip-white-paper-filter-tea-coffee-arabica-no-odor-i4254953797.html,196 sold,(61),Bulacan,₱39
ZX HOMES 300ml Coffee Maker Coffee Tea Filter French Press,https://www.lazada.com.ph/products/zx-homes-300ml-coffee-maker-coffee-tea-filter-french-press-i3600021016.html,245 sold,(15),Metro Manila,₱87
Coffee maker machine espresso machine Anti Drip Design coffee maker machine coffee machine complete set coffee press Drip Coffee Maker American Coffee Maker Coffee Machine Portable Household Coffee Maker Electric Coffee Machine,https://www.lazada.com.ph/products/coffee-maker-machine-espresso-machine-anti-drip-design-coffee-maker-machine-coffee-machine-complete-set-coffee-press-drip-coffee-maker-american-coffee-maker-coffee-machine-portable-household-coffee-maker-electric-coffee-machine-i4398619721.html,25 sold,(18),Rizal,₱799
350ML Coffee French Press Mini Glass Coffee Maker Cafeteire,https://www.lazada.com.ph/products/350ml-coffee-french-press-mini-glass-coffee-maker-cafeteire-i3539132322.html,658 sold,(143),Metro Manila,₱92
350/600ml Coffee Press Gift Set French Press Coffee Maker Tea Maker French Press Gift Set,https://www.lazada.com.ph/products/350600ml-coffee-press-gift-set-french-press-coffee-maker-tea-maker-french-press-gift-set-i4208131863.html,231 sold,(40),Bulacan,₱89.1
Hanabishi Coffee Maker 4 to 6 cups capacity - Stainless Steel - Non-Stick Heating Plate (HCM-15XB),https://www.lazada.com.ph/products/hanabishi-coffee-maker-4-to-6-cups-capacity-stainless-steel-non-stick-heating-plate-hcm-15xb-i1918767798.html,51 sold,(14),Metro Manila,₱898
1100ML Cup Drip Cold Brew Iced Tea Coffee Maker Portable Bottle Pot Espresso Filter Airtight Seal TH,https://www.lazada.com.ph/products/1100ml-cup-drip-cold-brew-iced-tea-coffee-maker-portable-bottle-pot-espresso-filter-airtight-seal-th-i4245748738.html,147 sold,(52),Bulacan,₱239.02
Home Zania 600ml French Press Coffee Maker Heat Resistant Borosilicate Glass With Handle And 3 Layer Filtration,https://www.lazada.com.ph/products/home-zania-600ml-french-press-coffee-maker-heat-resistant-borosilicate-glass-with-handle-and-3-layer-filtration-i2279234217.html,1.6K sold,(328),Metro Manila,₱95
"Manual Coffee Mill Grinder with Ceramic Burrs, Two High-quality Glass Jars, Stainless Steel Handle and Silicon Cover",https://www.lazada.com.ph/products/manual-coffee-mill-grinder-with-ceramic-burrs-two-high-quality-glass-jars-stainless-steel-handle-and-silicon-cover-i296578652.html,11.9K sold,(2059),Bulacan,₱218.25
Simplus Nespresso Coffee Machine Coffee Maker  Automatic Coffee Machine 20 Bar Removable 900ml Water Tank,https://www.lazada.com.ph/products/simplus-nespresso-coffee-machine-coffee-maker-automatic-coffee-machine-20-bar-removable-900ml-water-tank-i4088716993.html,1.3K sold,(466),Laguna,"₱2,199"
Italian Moka Pot Coffee Maker Stainless Steel Moka Coffee Pot Tea Pot Moka Pot For Ground Coffee,https://www.lazada.com.ph/products/italian-moka-pot-coffee-maker-stainless-steel-moka-coffee-pot-tea-pot-moka-pot-for-ground-coffee-i3710459512.html,139 sold,(59),Cavite,₱199.75
HANABISHI Coffee Maker Machine 4-6 cups HCM-15XB - BUILDMATE -,https://www.lazada.com.ph/products/hanabishi-coffee-maker-machine-4-6-cups-hcm-15xb-buildmate-i2593086604.html,1.2K sold,(375),Metro Manila,"₱1,143"
"Vermax Coffee Maker 4-7 cups Coffee drip, Coffee machine with water indicator, coffee filter brewed coffee",https://www.lazada.com.ph/products/vermax-coffee-maker-4-7-cups-coffee-drip-coffee-machine-with-water-indicator-coffee-filter-brewed-coffee-i3318364279.html,158 sold,(62),Metro Manila,₱899
Coffee Press Gift Set French Press Coffee Maker Tea Maker French Press Gift Set 350/600ml,https://www.lazada.com.ph/products/coffee-press-gift-set-french-press-coffee-maker-tea-maker-french-press-gift-set-350600ml-i4208107962.html,52 sold,(10),Bulacan,₱89.1
"Hanabishi Coffee Maker HCM10B 700ML Capacity with Anti-drip feature,",https://www.lazada.com.ph/products/hanabishi-coffee-maker-hcm10b-700ml-capacity-with-anti-drip-feature-i1313710098.html,4.0K sold,(1197),Bulacan,₱917
JL French Presses Coffee Pot Leisure Health Tea Maker with Filtration System Stainless Steel Heat Resistant Coffee Brewer,https://www.lazada.com.ph/products/jl-french-presses-coffee-pot-leisure-health-tea-maker-with-filtration-system-stainless-steel-heat-resistant-coffee-brewer-i3501076440.html,115 sold,(15),Metro Manila,₱83.3
SUPERMAN Manual Coffee Mill Grinder Portable Handmade Coffee Maker 304 Stainless Steel Kitchen Mini Portable Wood Grain Coffee Bean Grinder,https://www.lazada.com.ph/products/superman-manual-coffee-mill-grinder-portable-handmade-coffee-maker-304-stainless-steel-kitchen-mini-portable-wood-grain-coffee-bean-grinder-i2777063053.html,2.0K sold,(680),Bulacan,₱354
【24h Delivery】French Press Coffee Maker 600ml/800ml Coffee Grinder coffee press Coffee Makers & Grinders coffee french press Blenders with Stainless Steel Filter for Home Kitchen Cafe,https://www.lazada.com.ph/products/24h-deliveryfrench-press-coffee-maker-600ml800ml-coffee-grinder-coffee-press-coffee-makers-grinders-coffee-french-press-blenders-with-stainless-steel-filter-for-home-kitchen-cafe-i4372230216.html,615 sold,(17),Metro Manila,₱164.64
Moka Pot For Ground Coffee Stainless Steel Tea Pot As Best Christmas Gift Italian Coffee Maker - Induction Cooker Available,https://www.lazada.com.ph/products/moka-pot-for-ground-coffee-stainless-steel-tea-pot-as-best-christmas-gift-italian-coffee-maker-induction-cooker-available-i2505722072.html,250 sold,(84),Metro Manila,₱214.62
French Press Coffee Maker 350ml/600ml/800ml Coffee Grinder Blenders with Stainless Steel Filter for Home Kitchen Cafe,https://www.lazada.com.ph/products/french-press-coffee-maker-350ml600ml800ml-coffee-grinder-blenders-with-stainless-steel-filter-for-home-kitchen-cafe-i2691721261.html,1.1K sold,(243),Metro Manila,₱196.02
Imarflex ICM-355 Coffee Brewer,https://www.lazada.com.ph/products/imarflex-icm-355-coffee-brewer-i588610316.html,971 sold,(356),Metro Manila,"₱1,158"
